9344;3467;1109
9345;3252;1467
9346;2942;1877
9347;2490;2292
9348;2084;2720
9349;1679;3168
9350;1318;3478
9351;976;3683
9352;724;3793
9353;556;3782
9354;521;3658
9355;597;3452
9356;804;3077
9357;1097;2629
9358;1487;2176
9359;1931;1727
9360;2368;1262
9361;2773;882
9362;3140;665
9363;3410;569
9364;3536;615
9365;3579;812
9366;3507;1086
9367;3309;1402
9368;3003;1769
9369;2603;2202
9370;2173;2629
9371;1746;3005
9372;1355;3396
9373;1029;3632
9374;740;3764
9375;543;3777
9376;504;3667
9377;568;3420
9378;766;3062
9379;1094;2627
9380;1550;2147
9381;1919;1625
9382;2488;1163
9383;2894;789
9384;3230;607
9385;3464;579
9386;3557;693
9387;3517;954
9388;3345;1290
9389;3006;1676
9390;2597;2144
9391;2065;2625
9392;1598;3065
9393;1205;3448
9394;849;3671
9395;589;3797
9396;516;3752
9397;576;3530
9398;795;3099
9399;1238;2692
9400;1631;2183
9401;2169;1622
9402;2723;1132
9403;3147;769
9404;3429;611
9405;3548;666
9406;3504;918
9407;3258;1311
9408;2882;1784
9409;2414;2296
9410;1854;2799
9411;1359;3234
9412;947;3593
9413;624;3776
9414;491;3771
9415;595;3591
9416;932;3113
9417;1415;2542
9418;1983;1883
9419;2573;1281
9420;3050;850
9421;3388;614
9422;3556;647
9423;3541;849
9424;3285;1243
9425;2873;1765
9426;2346;2275
9427;1794;2865
9428;1301;3328
9429;890;3704
9430;619;3773
9431;523;3728
9432;638;3480
9433;919;3049
9434;1363;2505
9435;1864;1908
9436;2445;1343
9437;2932;904
9438;3314;645
9439;3545;596
9440;3612;749
9441;3531;1043
9442;3294;1439
9443;2905;1881
9444;2431;2364
9445;1937;2862
9446;1470;3290
9447;1019;3603
9448;717;3771
9449;532;3795
9450;545;3646
9451;739;3313
9452;1051;2858
9453;1464;2315
9454;1959;1760
9455;2459;1282
9456;2909;894
9457;3265;662
9458;3498;620
9459;3577;716
9460;3522;964
9461;3334;1348
9462;3029;1751
9463;2637;2174
9464;2212;2619
9465;1774;3053
9466;1381;3397
9467;1015;3660
9468;729;3801
9469;527;3814
9470;492;3725
9471;582;3487
9472;789;3083
9473;1099;2637
9474;1503;2146
9475;1934;1668
9476;2372;1231
9477;2790;890
9478;3151;691
9479;3417;596
9480;3585;641
9481;3647;789
9482;3587;1037
9483;3435;1380
9484;3178;1741
9485;2849;2132
9486;2448;2520
9487;2049;2932
9488;1650;3291
9489;1285;3571
9490;964;3762
9491;684;3839
9492;529;3826
9493;491;3728
9494;607;3447
9495;818;3075
9496;1160;2618
9497;1580;2120
9498;2041;1634
9499;2512;1186
9500;2944;871
9501;3263;661
9502;3485;612
9503;3590;713
9504;3559;932
9505;3409;1288
9506;3132;1783
9507;2773;2092
9508;2333;2540
9509;1879;2967
9510;1470;3357
9511;1091;3640
9512;794;3803
9513;565;3840
9514;490;3775
9515;557;3560
9516;765;3203
9517;1059;2696
9518;1454;2197
9519;1920;1697
9520;2445;1258
9521;2838;897
9522;3207;672
9523;3485;608
9524;3631;680
9525;3641;886
9526;3528;1198
9527;3251;1578
9528;2865;2058
9529;2407;2524
9530;1938;2978
9531;1496;3361
9532;1100;3636
9533;787;3799
9534;563;3813
9535;482;3704
9536;586;3425
9537;823;3005
9538;1188;2514
9539;1640;1912
9540;2129;1413
9541;2599;991
9542;3030;712
9543;3353;588
9544;3560;613
9545;3643;783
9546;3603;1054
9547;3447;1406
9548;3115;1813
9549;2731;2241
9550;2306;2732
9551;1880;3136
9552;1451;3477
9553;1072;3718
9554;785;3834
9555;563;3829
9556;473;3742
9557;531;3505
9558;695;3137
9559;1018;2691
9560;1394;2197
9561;1815;1659
9562;2271;1225
9563;2696;879
9564;3082;658
9565;3379;565
9566;3576;617
9567;3683;764
9568;3674;1011
9569;3566;1330
9570;3346;1696
9571;3045;2080
9572;2715;2507
9573;2358;2884
9574;1992;3211
9575;1680;3475
9576;1364;3671
9577;1085;3791
9578;843;3826
9579;637;3814
9580;535;3736
9581;485;3546
9582;559;3297
9583;695;2941
9584;927;2509
9585;1242;2095
9586;1593;1671
9587;1988;1281
9588;2389;944
9589;2763;712
9590;3103;570
9591;3348;562
9592;3511;633
9593;3564;807
9594;3521;1088
9595;3370;1428
9596;3106;1797
9597;2755;2183
9598;2382;2595
9599;1990;2993
9600;1596;3329
9601;1217;3585
9602;894;3758
9603;628;3812
9604;499;3776
9605;483;3620
9606;607;3329
9607;851;2923
9608;1214;2433
9609;1632;1925
9610;2099;1439
9611;2575;1017
9612;3005;729
9613;3365;560
9614;3614;545
9615;3728;671
9616;3744;914
9617;3643;1240
9618;3422;1611
9619;3106;2015
9620;2704;2428
9621;2299;2842
9622;1871;3211
9623;1445;3501
9624;1093;3703
9625;781;3813
9626;562;3809
9627;427;3696
9628;543;3422
9629;703;3062
9630;994;2617
9631;1380;2137
9632;1803;1663
9633;2253;1218
9634;2700;866
9635;3090;646
9636;3392;538
9637;3617;556
9638;3700;713
9639;3680;975
9640;3539;1311
9641;3292;1677
9642;2944;2098
9643;2537;2503
9644;2112;2902
9645;1691;3260
9646;1289;3543
9647;945;3731
9648;643;3817
9649;487;3792
9650;459;3652
9651;589;3334
9652;844;2916
9653;1204;2427
9654;1644;1906
9655;2135;1424
9656;2633;1013
9657;3077;692
9658;3419;553
9659;3645;559
9660;3713;725
9661;3647;1013
9662;3431;1407
9663;3083;1816
9664;2649;2262
9665;2163;2710
9666;1677;3109
9667;1250;3424
9668;877;3630
9669;609;3722
9670;468;3658
9671;499;3450
9672;694;3110
9673;1013;2614
9674;1453;2101
9675;1928;1574
9676;2423;1118
9677;2893;760
9678;3283;585
9679;3558;548
9680;3694;667
9681;3692;941
9682;3555;1278
9683;3282;1685
9684;2892;2173
9685;2432;2642
9686;1957;3092
9687;1516;3462
9688;1119;3733
9689;782;3849
9690;565;3851
9691;491;3774
9692;612;3509
9693;859;3105
9694;1242;2623
9695;1679;2019
9696;2167;1505
9697;2653;1053
9698;3088;745
9699;3427;577
9700;3643;572
9701;3731;729
9702;3708;996
9703;3525;1341
9704;3218;1750
9705;2815;2183
9706;2365;2681
9707;1910;3094
9708;1485;3442
9709;1089;3695
9710;787;3827
9711;554;3833
9712;486;3744
9713;573;3501
9714;804;3117
9715;1181;2644
9716;1605;2124
9717;2075;1562
9718;2557;1121
9719;2991;783
9720;3345;583
9721;3567;543
9722;3613;647
9723;3661;863
9724;3521;1187
9725;3235;1559
9726;2869;1968
9727;2434;2399
9728;2007;2865
9729;1572;3247
9730;1207;3546
9731;876;3734
9732;626;3819
9733;487;3802
9734;467;3653
9735;595;3374
9736;857;2984
9737;1236;2524
9738;1663;2019
9739;2114;1489
9740;2564;1078
9741;2981;766
9742;3283;605
9743;3494;560
9744;3582;661
9745;3572;866
9746;3442;1162
9747;3204;1522
9748;2843;1905
9749;2458;2308
9750;2040;2728
9751;1640;3140
9752;1277;3448
9753;948;3667
9754;690;3785
9755;507;3810
9756;471;3722
9757;535;3511
9758;734;3174
9759;1069;2735
9760;1459;2262
9761;1905;1765
9762;2356;1279
9763;2791;902
9764;3145;674
9765;3400;582
9766;3535;638
9767;3567;827
9768;3477;1098
9769;3259;1445
9770;2896;1855
9771;2507;2269
9772;2080;2702
9773;1670;3139
9774;1285;3472
9775;958;3705
9776;709;3818
9777;520;3825
9778;472;3737
9779;548;3502
9780;699;3163
9781;959;2758
9782;1424;2349
9783;1863;1890
9784;2317;1309
9785;2744;933
9786;3126;675
9787;3379;581
9788;3488;623
9789;3539;786
9790;3558;928
9791;3397;1015
9792;3263;1513
9793;2997;2037
9794;2521;2267
9795;2036;2630
9796;1636;3114
9797;1266;3465
9798;919;3666
9799;732;3759
9800;573;3739
9801;476;3640
9802;481;3468
9803;559;3136
9804;692;2802
9805;1091;2453
9806;1597;2120
9807;1944;1501
9808;2408;981
9809;2806;737
9810;3009;566
9811;3179;529
9812;3317;565
9813;3473;631
9814;3509;760
9815;3455;1059
9816;3305;1376
9817;3069;1664
9818;2772;2058
9819;2466;2422
9820;2114;2773
9821;1813;3074
9822;1448;3334
9823;1120;3523
9824;883;3653
9825;660;3699
9826;524;3651
9827;495;3511
9828;548;3285
9829;686;2910
9830;893;2572
9831;1121;2171
9832;1453;1780
9833;1851;1473
